conversation_id_str,created_at,favorite_count,Tweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment
1840534326746010071,Sun Sep 29 23:29:13 +0000 2024,0,ngantuk berat tarik selimut lagi,1840534326746010071,,,in,,0,0,0,https://x.com/0XalinggaGibran/status/1840534326746010071,1799405747102777345,0XalinggaGibran,negative
1840534301370425845,Sun Sep 29 23:29:07 +0000 2024,0,mengakui akun fufufafa adalah miliknya dan meminta maaf terkait saat itu masih muda hallooo bagaimana ini  dimaafkan tidak  dan bgmn apakah masih layak  memimpin nkri,1840534301370425845,,gibran,in,,0,0,0,https://x.com/ENS53311139/status/1840534301370425845,1168102826624483329,ENS53311139,negative
1840533996327120918,Sun Sep 29 23:27:54 +0000 2024,0,cc  fyi pak prabowo harusnya bijaksana dalam mengambil keputusan politik  perut rakyat gak bisa dibohongin pak  kalo laper bunyi lemes sakit pak  jgn dibohongin lagi dgn politik wakil jgn gibran apalagi puan  rakyat butuh hidup tenang adil sejahtera semoga aja,1840533996327120918,,,in,Jakarta Capital Region,0,0,0,https://x.com/saerozi63/status/1840533996327120918,1638596282012028930,saerozi63,negative
1840172992380449177,Sun Sep 29 23:27:52 +0000 2024,0,fufufafa jadi wapress  kalau pak prabowo ada sakit dsb  yakin mau di pimpin fufufafa,1840533986961179022,,gtobing2903,in,Jogjakarta,0,0,0,https://x.com/yudhikura/status/1840533986961179022,131352298,yudhikura,positive
1840365370311594494,Sun Sep 29 23:26:57 +0000 2024,1,gibran jadi wapres di negeri dg 275jt penduduk saja sudah sangat aneh      siap2 5th ke depan menghadapi kelakuan pejabat dan aparat negara yg akan jauh lebih aneh lagi safam fufufafa,1840533756303880359,,HeryIdris5,in,"Kota Bogor, West Java",0,0,0,https://x.com/wong_clayten/status/1840533756303880359,3139555602,wong_clayten,neutral
1840533655787368880,Sun Sep 29 23:26:33 +0000 2024,0,pasukan bawah tanah jokowi yg melaporkan roy suryo sebut gibran lambang negara makanya harus di lindungi,1840533655787368880,https://pbs.twimg.com/media/GYrjmyCbUAAlUks.jpg,,in,,0,0,0,https://x.com/doctor__fabre/status/1840533655787368880,1227492565525491713,doctor__fabre,negative
1839982788956827848,Sun Sep 29 23:26:15 +0000 2024,0,segera ganji gibran alias fufufafa,1840533580495438078,,FayaAtika,in,,0,0,0,https://x.com/anshari_isnan/status/1840533580495438078,1567028123291766784,anshari_isnan,negative
1840208452175507605,Sun Sep 29 23:25:36 +0000 2024,0,bisnis cuci mencuci sepeinya kalau sudah kering pasti di angkat kalau sudah bersih sudah bereskan,1840533418121339300,,StefanAntonio__,in,,0,0,0,https://x.com/candaankosong/status/1840533418121339300,1635046674870710273,candaankosong,neutral
1840532855480521166,Sun Sep 29 23:23:22 +0000 2024,1,sama halnya sepei timnas dunia politik indonesia harus potong generasi,1840532855480521166,,,in,beside my lady,0,0,0,https://x.com/gibranely/status/1840532855480521166,185616700,gibranely,positive
1840532444837273609,Sun Sep 29 23:21:44 +0000 2024,0,akang raffi temennya mas  teh mau jadi minister naon nyak,1840532444837273609,,,in,Indonesia.,0,0,0,https://x.com/K7_m0en/status/1840532444837273609,3299145104,K7_m0en,neutral
1840232905207099405,Sun Sep 29 23:21:27 +0000 2024,7,lo pantesnya ngajarin kaesang dan gibran ted    sama2 tololnya,1840532371852214637,,TeddGus,in,Jawa Barat,0,2,0,https://x.com/Shifa_M3/status/1840532371852214637,1828004500663332864,Shifa_M3,negative
1840395036837703911,Sun Sep 29 23:21:24 +0000 2024,0,ya  pemerhati hukum  gibran sekarang jabatannya apa  tanggal 20 oktober nanti dia jabatannya apa,1840532358942113920,,SammiSoh,in,Jakarta Capital Region,0,0,0,https://x.com/sendy82/status/1840532358942113920,81138905,sendy82,neutral
1840526768354336958,Sun Sep 29 23:20:42 +0000 2024,0,jika tidak benar prabowo dan gibran akan sering jalan bersama dan adakan peemuan membahas persiapan susunan kabinet  iya engga,1840532183171420326,,JamesPepen,in,"Bima Sakti, Bumi, Indonesia",0,1,0,https://x.com/abu_waras/status/1840532183171420326,2905814730,abu_waras,positive
1839990276825235607,Sun Sep 29 23:20:01 +0000 2024,0,nunggu si  selesai hapus hapus post bukti di akun fufufafa baru nanti   gerak terus bilang informasi fufufafa yg beredar adalah hoax,1840532010663837712,,dipejet,in,,0,0,0,https://x.com/waluhrebus/status/1840532010663837712,934050830600232960,waluhrebus,neutral
1840208452175507605,Sun Sep 29 23:19:32 +0000 2024,0,ya orang dungu otj dipantat,1840531888688992519,,StefanAntonio__,in,,0,0,0,https://x.com/MbahJack2323/status/1840531888688992519,1673187405258694656,MbahJack2323,negative
1792433563880902853,Sun Sep 29 23:17:31 +0000 2024,0,selamat pagi pak  selamat pagi pak  selamat pagi  selamat pagi,1840531382982107241,https://pbs.twimg.com/media/GYrhie3bsAAdA4j.jpg,ferrykoto,in,Indonesia ,0,0,0,https://x.com/MangDjanaBdg/status/1840531382982107241,841187770726932482,MangDjanaBdg,neutral
1839862694910018047,Sun Sep 29 23:15:48 +0000 2024,0,gibran ikuti gaya bpkne asal mangap dulu bpkne jg bilang 10 jt tp blas gak da apa malah yg meledak tka china,1840530951849517421,,akbarfaizal68,in,,0,0,0,https://x.com/adjatajah/status/1840530951849517421,791739636,adjatajah,neutral
1840368378428772770,Sun Sep 29 23:15:02 +0000 2024,0,sebenernya itu bentuk kejengkelan gibran terhadap isu private jet seolah olah dia tegar menghadapi isu tsb padahal jengkel mangkanya bilang gitu di acara psi itu fakta psikologis,1840530755979825331,,BangPino__,in,,0,0,0,https://x.com/NandaJuand87035/status/1840530755979825331,1707654484523147264,NandaJuand87035,negative
1840202769774588300,Sun Sep 29 23:13:29 +0000 2024,0,diskusi utk menggagalkan pelantikan gibran dg bermacam cara  antara lain lewat jalur hukum lewat kerusuhan dan provokasi rakyat adu domba ps cv gibran sdh dilakukan ttp gagal  adu domba ps vc jkw sdh lebih gagal lagi   jalan terakhir menggagalkan pelantikan gibran,1840530365645287616,,jojo_botak,in,,0,0,0,https://x.com/nalarto/status/1840530365645287616,1315865946850959360,nalarto,negative
1840530092088512985,Sun Sep 29 23:12:24 +0000 2024,58,lu kali yg mnjijikkan  semua org tau klo cuitan gibran itu bkn kejahatan tp non etika yg uda akut  emngnya negara mana yg mau dipimpin org yg low attitude berai bener ya fufufafa itu gibran,1840530092088512985,https://pbs.twimg.com/ext_tw_video_thumb/1840529989412044800/pu/img/o6_vHnlT6L0SQI9a.jpg,,in,,4,13,4,https://x.com/MayaA62580468/status/1840530092088512985,1459664329402290177,MayaA62580468,negative
1840196231030817077,Sun Sep 29 23:10:11 +0000 2024,0,mau kepuasan nya 1000  tetep aje bentar lagi lengser,1840529535831519291,,Ber_uang08,in,,0,0,0,https://x.com/YouMik25/status/1840529535831519291,1596897788075200512,YouMik25,positive
1839952287185133869,Sun Sep 29 23:09:55 +0000 2024,0,halu,1840529468869480557,,Ber_uang08,in,,0,0,0,https://x.com/pauspaulus91/status/1840529468869480557,1795526992839970816,pauspaulus91,negative
1838088858464096597,Sun Sep 29 23:09:52 +0000 2024,1,si tolol msh percaya chat mesum hoax,1840529454881497188,,liehokie,in,,0,0,0,https://x.com/crushonyou99_/status/1840529454881497188,1169235891174293504,crushonyou99_,negative
1839846435434705093,Sun Sep 29 23:09:15 +0000 2024,0,gibran beler wkwk,1840529299742552416,,itsquaileggs,in,,0,0,0,https://x.com/EnyababaP/status/1840529299742552416,1708197495640326144,EnyababaP,positive
1840261935646027808,Sun Sep 29 23:07:48 +0000 2024,0,mulyono mati prabowo mati gibran mati ga bikin dagangan laku juga,1840528938575282544,,7wisanggeni78,in,,0,0,0,https://x.com/MieSuccess/status/1840528938575282544,1248764144955908096,MieSuccess,negative
1840208452175507605,Sun Sep 29 23:07:15 +0000 2024,0,kalo ga ada bapaknya cuma mas2 pengangguran beban keluarga doang bjir wkwkwk,1840528796283474135,,StefanAntonio__,in,"Kenyase, Ghana",0,0,0,https://x.com/budakkorprat/status/1840528796283474135,1788376397351919617,budakkorprat,neutral
1840528033532490027,Sun Sep 29 23:04:13 +0000 2024,0,mungkin nanti mas gibran akan dpt gelar jga nyusul,1840528033532490027,,,in,"Lombok Timur, NTB",0,0,0,https://x.com/rumahrakyat77/status/1840528033532490027,1031508693269897216,rumahrakyat77,positive
1840509698514231783,Sun Sep 29 23:03:58 +0000 2024,0,gibran jg tngh r,1840527972941586859,,Yooshikazu,in,🔥 jancok 🔥,0,1,0,https://x.com/SKlBlDlTOlLET/status/1840527972941586859,3285255492,SKlBlDlTOlLET,positive
1840344874824180204,Sun Sep 29 23:03:13 +0000 2024,0,gw diem tapi mulyono yang bukan siapa siapa dikadin ikut campur tangan bro,1840527782885069197,,ditoks,in,Berada di gedung PSI,0,0,0,https://x.com/ring01mulyono/status/1840527782885069197,4637298626,ring01mulyono,negative
1840524992595001417,Sun Sep 29 23:03:09 +0000 2024,10,pak jokowi tengah menyalahkan kebijakanya bapaknya gibran,1840527766644756562,,DokterTifa,in,Majapahit Selatan ,0,0,0,https://x.com/MasboyK/status/1840527766644756562,2831858568,MasboyK,negative
1840527479339123128,Sun Sep 29 23:02:01 +0000 2024,0,ciunis lokal macam ini dapat ceperan berapa duit dari sirewel utk sekali tuit ya,1840527479339123128,,,in,Salakanagara,0,0,0,https://x.com/ramboetz/status/1840527479339123128,988786264441794560,ramboetz,neutral
1840342965413453905,Sun Sep 29 23:01:18 +0000 2024,0,memang diadopsi dari bahasa melayu dagang  bahasa perdagangan yg sederhana dan mudah dipelajari semua orang  sayangnya kultur bangsa ini bukan bangsa dagang  jadi gak nyambung,1840527298971455967,,FayaAtika,in,,0,0,0,https://x.com/rakabuning/status/1840527298971455967,1724707826365599744,rakabuning,positive
1840352544050266386,Sun Sep 29 23:00:57 +0000 2024,0,wkwkw bocahbri lu udh mrsa tua nah knp tdk ikut mendfatr saat pilpres buktiin klo cm nyinyir doank sia sia tuh,1840527212656861448,,pulisi_indiaa,in,,0,0,0,https://x.com/R4v4king/status/1840527212656861448,1727670533939142656,R4v4king,negative
1840526980120543584,Sun Sep 29 23:00:02 +0000 2024,0,penanganan covid 19 yang cepat dan tepat salute   jokowibaktiuntuknegeri,1840526980120543584,,,in,,0,0,0,https://x.com/gilang_gbrn13/status/1840526980120543584,1683724858491043840,gilang_gbrn13,positive
1840250617203482984,Sun Sep 29 23:00:00 +0000 2024,0,dulu gibran selalu dihina  eh g dihina2 malah melambung tinggi,1840526974500098055,,FDonghun,in,,0,1,0,https://x.com/TorankuA11300/status/1840526974500098055,1767928569559400448,TorankuA11300,negative
1840526768354336958,Sun Sep 29 22:59:11 +0000 2024,1347,jadi gini jika benar sekali lagi jika benar bahwa fufufafa adalah gibran maka mau ditaro dimana muka kita sebagai bangsa yang besar di mata dunia   kelen pikir dunia internasional engga tahu siapa fufufafa,1840526768354336958,,,in,"Bima Sakti, Bumi, Indonesia",2,43,448,https://x.com/abu_waras/status/1840526768354336958,2905814730,abu_waras,positive
1840196231030817077,Sun Sep 29 22:58:40 +0000 2024,0,dan 27 november nanti pdip makin nyungsep,1840526638372827216,,Ber_uang08,in,,0,0,0,https://x.com/Sintya_Rys/status/1840526638372827216,1737716204402626561,Sintya_Rys,neutral
1840196231030817077,Sun Sep 29 22:56:58 +0000 2024,0,buktinya yg kasihan pakde gagal maning semua uu pilkada gagal pkb mau dikerjain gagal buzzer nya sibuk cebok terus kwkwkkwk,1840526209488445479,,santoz92725,in,,0,0,0,https://x.com/Robbygseb/status/1840526209488445479,1494870078076375040,Robbygseb,negative
1840196231030817077,Sun Sep 29 22:55:37 +0000 2024,0,bentar lagi pakde selesai pdip masih beahan  setelah usaha menghancurkan pdip gila2 an eh masih tegar berdiri baru sebentar pdip berbeda udah turun aja tuh kemampuan pakde walau buzzer sibuk cebok terus kwkwkwk,1840525870018290160,,Ber_uang08,in,,0,0,0,https://x.com/Robbygseb/status/1840525870018290160,1494870078076375040,Robbygseb,neutral
1839955680855502869,Sun Sep 29 22:54:17 +0000 2024,0,setelah tak baca ulang nggak ada kalimat yg hoax dimana hoaxnya  kan hanya dibilang gibran diganti nggak perlu ada kata walikota pun yg baca mestinya paham lha emang gibran udah jadi wapres kan belum,1840525533911851495,,PartaiSocmed,in,,0,0,0,https://x.com/orangbebas2023/status/1840525533911851495,1085422050485960704,orangbebas2023,negative
1840354308724051970,Sun Sep 29 22:54:16 +0000 2024,8,tolong bantah bukti ini bahwa no tlp tsb bukan milik gibran,1840525528832573507,https://pbs.twimg.com/media/GYrcNo8agAARwN7.jpg,tham878,in,", Indonesia",0,1,1,https://x.com/ediedot108/status/1840525528832573507,718071861746073600,ediedot108,positive
1839966531213767011,Sun Sep 29 22:52:06 +0000 2024,0,woyyy      prof jangan kegocek  om memed  lagi ngalihin issue fufufafa  fufufafa tetep dilantik impeachment mah soal nanti gimana,1840524984571273560,,ProfylHenuk,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/KayanaDuris/status/1840524984571273560,1547231490001743872,KayanaDuris,neutral
1840524690869367066,Sun Sep 29 22:50:56 +0000 2024,2,menurut pasukan bawah tanah jokowi  gibran rakabuming raka adalah lambang negara,1840524690869367066,https://pbs.twimg.com/media/GYrbcxaboAAUg40.jpg,,in,Indonesia ,0,1,0,https://x.com/MangDjanaBdg/status/1840524690869367066,841187770726932482,MangDjanaBdg,negative
1840524562100002833,Sun Sep 29 22:50:25 +0000 2024,0,akun fufufafa a1 milik gibran akankah gibran batal dilantik,1840524562100002833,,,in,,0,0,0,https://x.com/arief_ars22/status/1840524562100002833,1724356927080247296,arief_ars22,neutral
1840208452175507605,Sun Sep 29 22:49:56 +0000 2024,0,tukang cuci lewat permisi,1840524440809177144,,StefanAntonio__,in,,0,0,0,https://x.com/s4ms0nite/status/1840524440809177144,1390156637642530818,s4ms0nite,neutral
1839839863262326875,Sun Sep 29 22:47:34 +0000 2024,0,lah tifa aja penyepong anis  dia genjar menyerang gibran mulai fari fitnah ijazah  sampai sekarang narkoba gagal mulu  dijanjikan apasih ini orang hingga sepei ini  gelar dogter aja meragukan ditambah sama bambang sebagai tersangka masih bebas berkeliaran  heran g tau malu,1840523846576914704,,PngAdilnR4kyt,in,,0,0,0,https://x.com/TorankuA11300/status/1840523846576914704,1767928569559400448,TorankuA11300,negative
1839906670820110668,Sun Sep 29 22:43:41 +0000 2024,0,ga ikutan kan,1840522866359775624,,BosPurwa,in,,0,0,0,https://x.com/AlMaidah_54/status/1840522866359775624,809905974114820096,AlMaidah_54,positive
1840522763813146987,Sun Sep 29 22:43:16 +0000 2024,0,ku doa kan semua bangkrut pendukung gibran  dan mati,1840522763813146987,,,in,"Balik Bukit, Indonesia",0,0,0,https://x.com/Dirgahayu394/status/1840522763813146987,1594969791588016130,Dirgahayu394,negative
1840522566877970498,Sun Sep 29 22:42:29 +0000 2024,1,wow sungguh busuk kalian ya    diawal mencitrakan diri dengan kesederhanaan sampai kami mendukung namun ternyata diakhir periode kekuasaanmu mulyono terungkap kebusukanmu  kalian penipu,1840522566877970498,,,in,,0,0,0,https://x.com/Mi73Hel/status/1840522566877970498,3244905644,Mi73Hel,negative
